UPC,LONG PRODUCT DESCRIPTION,BC CATEGORY,BC SUB CATEGORY,BC SEGMENT,RANDOM WEIGHT,BRAND OWNER HIGH,BASE SIZE,HW ORGANIC,PACK SIZE
307582804166,MLTP VL SWT ONN SNGL VGTB 16 OZ,ONIONS,SWEET,WHOLE,YES,MULTIPLE BRANDS,16 OUNCE,NOT APPLICABLE,NOT APPLICABLE
085955500177,RL SWT ONN SNGL VGTB 1 CT,ONIONS,SWEET,WHOLE,YES,SHUMAN PRODUCE INC,1 COUNT,NOT APPLICABLE,NOT APPLICABLE
005026904663,MLTP VL WHT ONN JMB SNGL VGTB 16 OZ,ONIONS,WHITE,WHOLE,YES,MULTIPLE BRANDS,16 OUNCE,NOT APPLICABLE,NOT APPLICABLE
547582816776,MRYS CPLN ONN SNGL VGTB 1 CT,ONIONS,SWEET,WHOLE,YES,MURRAY'S CHEESE,1 COUNT,NOT APPLICABLE,NOT APPLICABLE
060580600183,YLW ONN WHL BAG 160 OZ,ONIONS,YELLOW,WHOLE,NO,NO COMPANY LISTED,160 OUNCE,NOT APPLICABLE,NOT APPLICABLE
003784202521,FRDS GLD PRL ONN WHL MLDD TRY 8 OZ,ONIONS,PEARL,WHOLE,NO,"FRIEDA'S, INC.",8 OUNCE,NOT APPLICABLE,NOT APPLICABLE
307582894662,MLTP VL SHLT ONN ORGN SNGL VGTB 16 OZ,ONIONS,SHALLOT,WHOLE,YES,MULTIPLE BRANDS,16 OUNCE,ORGANIC,NOT APPLICABLE
307582894666,MLTP VL ONN ORGN SNGL VGTB 16 OZ,ONIONS,REMAINING ONIONS,WHOLE,YES,MULTIPLE BRANDS,16 OUNCE,ORGANIC,NOT APPLICABLE
007546555923,LS CPLN ONN WHL BAG 10 OZ,ONIONS,SWEET,WHOLE,NO,LEASA INDUSTRIES CO. INC,10 OUNCE,NOT APPLICABLE,NOT APPLICABLE
007464101591,CNTR FRS CRT GRN ONN CHPD TUB 3.5 OZ,ONIONS,VALUE ADD,MEAL PREP,NO,COUNTRY FRESH INC,3.5 OUNCE,NOT APPLICABLE,NOT APPLICABLE
003338361887,MLTP VL RED ONN ORGN SNGL VGTB 16 OZ,ONIONS,RED,WHOLE,YES,MULTIPLE BRANDS,16 OUNCE,ORGANIC,NOT APPLICABLE
064355000061,GLS ONN RED DCD BAG 8 OZ,ONIONS,VALUE ADD,MEAL PREP,NO,GILLS ONIONS,8 OUNCE,NOT APPLICABLE,NOT APPLICABLE
